specification,analysis_group,sample_type,lag_criterion,equation,parameter,coef,std_error,t_stat,p_value,nobs,lag_order,aic,bic,hqic,fpe
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,term_spread_daily_chg,L1.hy_spread_daily_chg,0.016300461541920656,0.014943827473812244,1.0907822357080739,0.27536871492770953,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,term_spread_daily_chg,L1.ig_spread_daily_chg,-0.028705614030013236,0.05400938514774453,-0.5314930720186508,0.5950771409084974,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,term_spread_daily_chg,L1.btc_eth_daily_log_ret_avg,0.0006944270827953028,0.029196863749749932,0.023784303983719845,0.9810246601153372,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,term_spread_daily_chg,L1.btc_eth_realized_vol_7d,-0.026305126610443638,0.06573740139369176,-0.40015464640754583,0.6890426169942718,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,term_spread_daily_chg,L1.term_spread_daily_chg,-0.05581901419883576,0.025989193365598427,-2.1477778634223674,0.03173140637626003,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,term_spread_daily_chg,L1.usd_strength_daily_log_chg,0.43738580253846915,0.36048102802056753,1.2133393120303513,0.2250001186480418,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,usd_strength_daily_log_chg,const,-0.0001926290314040765,0.00017418420940120227,-1.1058926183164508,0.26877300018962536,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,usd_strength_daily_log_chg,L1.stablecoin_supply_daily_log_chg,-0.02419069508338309,0.014130644034539553,-1.7119315315178658,0.08690928702097056,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,usd_strength_daily_log_chg,L1.hy_spread_daily_chg,0.00012541795937620777,0.0011500568845180408,0.10905370079043282,0.9131598972071723,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,usd_strength_daily_log_chg,L1.ig_spread_daily_chg,0.014401030007768082,0.00415648971634604,3.464709644567097,0.0005308042356358681,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
