specification,analysis_group,sample_type,lag_criterion,caused,causing,caused_variables,causing_variables,direction,test_scope,test,statistic,p_value,df,significant_10pct,significant_5pct,significant_1pct,lag_order,nobs,error,fdr_family,fdr_family_size,fdr_q_value,fdr_reject_10pct
primary_bic_btc_eth_funding_rate_avg,primary,common_business_day,bic,ig_spread_daily_chg,btc_eth_funding_rate_avg,ig_spread_daily_chg,btc_eth_funding_rate_avg,crypto_to_risk,individual,granger_causality_f_test,4.219423334057664,0.03998874242729663,"(1, 10374)",True,True,False,1,1490,,primary_forward_12_tests,12.0,0.2399324545637798,False
primary_bic_btc_eth_funding_rate_avg,primary,common_business_day,bic,btc_eth_funding_rate_avg,hy_spread_daily_chg,btc_eth_funding_rate_avg,hy_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,3.7575911405263196,0.05259535113110469,"(1, 10374)",True,False,False,1,1490,,primary_reverse_12_tests,12.0,0.15778605339331409,False
primary_bic_btc_eth_funding_rate_avg,primary,common_business_day,bic,btc_eth_funding_rate_avg,ig_spread_daily_chg,btc_eth_funding_rate_avg,ig_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,0.36112844129888544,0.5478933242982514,"(1, 10374)",False,False,False,1,1490,,primary_reverse_12_tests,12.0,0.6348662460102602,False
primary_bic_btc_eth_funding_rate_avg,primary,common_business_day,bic,btc_eth_funding_rate_avg,hy_spread_daily_chg + ig_spread_daily_chg,btc_eth_funding_rate_avg,"hy_spread_daily_chg, ig_spread_daily_chg",risk_to_crypto,joint_risk_group,granger_causality_f_test,6.296387685664641,0.0018500007200704719,"(2, 10374)",True,True,True,1,1490,,,,,False
lag_robustness_aic_btc_eth_funding_rate_avg,lag_robustness,common_business_day,aic,hy_spread_daily_chg,btc_eth_funding_rate_avg,hy_spread_daily_chg,btc_eth_funding_rate_avg,crypto_to_risk,individual,granger_causality_f_test,1.3567856530588056,0.19382189664215532,"(10, 9870)",False,False,False,10,1481,,,,,False
lag_robustness_aic_btc_eth_funding_rate_avg,lag_robustness,common_business_day,aic,ig_spread_daily_chg,btc_eth_funding_rate_avg,ig_spread_daily_chg,btc_eth_funding_rate_avg,crypto_to_risk,individual,granger_causality_f_test,3.5754181055057943,9.462332119099187e-05,"(10, 9870)",True,True,True,10,1481,,,,,False
lag_robustness_aic_btc_eth_funding_rate_avg,lag_robustness,common_business_day,aic,btc_eth_funding_rate_avg,hy_spread_daily_chg,btc_eth_funding_rate_avg,hy_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,3.2505093447611997,0.0003349041083844926,"(10, 9870)",True,True,True,10,1481,,,,,False
lag_robustness_aic_btc_eth_funding_rate_avg,lag_robustness,common_business_day,aic,btc_eth_funding_rate_avg,ig_spread_daily_chg,btc_eth_funding_rate_avg,ig_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,5.044823945662513,2.3108715130327726e-07,"(10, 9870)",True,True,True,10,1481,,,,,False
lag_robustness_aic_btc_eth_funding_rate_avg,lag_robustness,common_business_day,aic,btc_eth_funding_rate_avg,hy_spread_daily_chg + ig_spread_daily_chg,btc_eth_funding_rate_avg,"hy_spread_daily_chg, ig_spread_daily_chg",risk_to_crypto,joint_risk_group,granger_causality_f_test,4.692942015414522,1.79975468678644e-11,"(20, 9870)",True,True,True,10,1481,,,,,False
lag_robustness_hqic_btc_eth_funding_rate_avg,lag_robustness,common_business_day,hqic,hy_spread_daily_chg,btc_eth_funding_rate_avg,hy_spread_daily_chg,btc_eth_funding_rate_avg,crypto_to_risk,individual,granger_causality_f_test,2.6423788289960273,0.03191222601993607,"(4, 10206)",True,True,False,4,1487,,,,,False
